선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
윤영철,투수,2.85,25,24,1,0,0,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.4,KIA 타이거즈,15432,2021
임기영,투수,2.35,64,0,64,9,0,0,4,4,3,16,82.0,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.4,3.48,3.93,0.91,KIA 타이거즈,10909,2021
파노니,투수,2.04,16,15,1,0,0,0,6,3,0,0,82.1,39,41,36.9,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,4.03,4.06,3.65,1.32,KIA 타이거즈,15147,2021
전상현,투수,1.89,64,0,64,8,0,0,8,3,1,13,58.2,14,20,21.25,250,50,8,0,1,26,1,4,50,4,0,3,2.15,3.07,3.26,3.28,3.3,1.3,KIA 타이거즈,12537,2021
앤더슨,투수,1.57,14,14,0,0,0,0,4,7,0,0,79.0,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29,KIA 타이거즈,15533,2021
정해영,투수,1.48,52,0,52,40,0,0,3,4,23,1,49.1,16,18,19.55,218,53,9,1,3,20,1,3,30,2,0,0,2.92,3.28,3.57,3.59,4.25,1.48,KIA 타이거즈,14608,2021
이준영,투수,0.97,64,0,64,4,0,0,1,0,0,10,33.2,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.38,3.46,3.74,1.46,KIA 타이거즈,11303,2021
최지민,투수,0.91,58,0,58,15,0,0,6,3,3,12,59.1,14,17,29.4,244,45,4,2,4,26,4,1,44,5,0,5,2.12,2.58,4.46,4.56,4.31,1.2,KIA 타이거즈,15057,2021
장현식,투수,0.63,56,0,56,17,0,0,2,2,3,5,51.0,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.81,4.67,1.65,KIA 타이거즈,11164,2021
윤중현,투수,0.49,31,0,31,10,0,0,2,1,0,0,28.0,12,13,13.2,115,29,3,0,2,10,1,1,8,2,0,0,3.86,4.18,4.24,4.38,5.09,1.39,KIA 타이거즈,13122,2021
산체스,투수,0.27,12,11,1,1,1,0,4,4,0,0,63.2,42,46,43.6,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.5,6.16,6.1,3.77,1.48,KIA 타이거즈,15648,2021
김승현,투수,0.19,10,0,10,5,0,0,0,0,0,0,12.2,6,6,6.0,57,11,2,0,1,10,1,0,7,1,0,1,4.26,4.26,4.26,4.41,6.1,1.66,KIA 타이거즈,12637,2021
메디나,투수,0.18,12,12,0,0,0,0,2,6,0,0,58.0,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,6.09,6.33,5.56,1.6,KIA 타이거즈,15534,2021
박준표,투수,0.14,33,0,33,3,0,0,1,0,0,3,28.0,14,16,17.35,118,28,3,1,3,9,0,1,13,2,0,1,4.5,5.14,5.58,5.58,4.96,1.32,KIA 타이거즈,11070,2021
김대유,투수,0.1,41,0,41,4,0,0,0,2,0,4,24.2,14,15,15.0,110,26,1,1,2,8,6,1,20,1,0,0,5.11,5.47,5.47,5.62,4.42,1.38,KIA 타이거즈,10706,2021
유승철,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.95,1.0,KIA 타이거즈,12914,2021
김건국,투수,0.0,6,5,1,1,0,0,0,1,0,0,16.0,12,12,11.15,70,18,6,1,0,4,1,0,9,0,0,0,6.75,6.75,6.27,6.69,3.41,1.38,KIA 타이거즈,12944,2021
황동하,투수,-0.06,13,6,7,1,0,0,0,3,0,0,31.1,23,25,22.95,149,35,6,3,5,21,1,0,19,2,0,1,6.61,7.18,6.59,6.82,6.41,1.79,KIA 타이거즈,15063,2021
곽도규,투수,-0.18,14,0,14,2,0,0,0,0,0,0,11.2,11,11,11.0,61,14,2,0,0,10,2,0,14,0,0,1,8.49,8.49,8.49,8.64,4.04,2.06,KIA 타이거즈,15435,2021
김유신,투수,-0.21,27,0,27,9,0,0,0,1,0,2,30.1,19,19,22.6,141,34,8,0,2,19,3,0,12,1,0,0,5.64,5.64,6.71,6.7,5.89,1.75,KIA 타이거즈,13114,2021
김기훈,투수,-0.26,29,0,29,12,0,0,2,0,0,0,31.1,16,22,23.55,156,28,6,1,0,37,2,1,26,3,1,5,4.6,6.32,6.76,6.99,5.53,2.07,KIA 타이거즈,14176,2021
김재열,투수,-0.76,9,0,9,2,0,0,0,0,0,0,11.2,17,17,18.2,70,20,4,1,2,13,0,0,9,3,0,0,13.11,13.11,14.04,13.82,7.42,2.83,KIA 타이거즈,14747,2021
고영표,투수,6.77,28,27,1,1,0,0,12,7,0,0,174.2,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,2.96,2.91,3.19,1.15,KT 위즈,11308,2021
쿠에바스,투수,5.19,18,18,0,0,0,0,12,0,0,0,114.1,33,33,31.65,460,95,10,2,4,24,2,1,100,2,0,5,2.6,2.6,2.49,2.39,2.78,1.04,KT 위즈,13942,2021
벤자민,투수,3.66,29,29,0,0,0,0,15,6,0,0,160.0,63,79,76.95,684,149,23,1,12,45,3,1,157,13,0,11,3.54,4.44,4.33,4.23,3.14,1.21,KT 위즈,15143,2021
엄상백,투수,3.48,20,19,1,0,0,0,7,6,0,0,111.2,45,46,45.15,454,100,16,4,6,29,2,0,89,2,0,1,3.63,3.71,3.64,3.5,3.36,1.16,KT 위즈,11318,2021
김재윤,투수,2.8,59,0,59,47,0,0,5,5,32,0,65.2,19,21,21.85,262,54,5,2,2,13,1,5,60,4,0,3,2.6,2.88,2.99,2.77,2.4,1.02,KT 위즈,11489,2021
