,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
394,394,양현,키움 히어로즈,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107307,2021,10730,,12000.0,19.0,185.0,0.0,12000.0
395,395,이승호,키움 히어로즈,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128657,2021,12865,,10000.0,22.0,218.0,0.0,10000.0
396,396,조상우,키움 히어로즈,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111267,2021,11126,,33000.0,10.0,81.0,0.0,33000.0
397,397,김성진,키움 히어로즈,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,148497,2021,14849,,10000.0,22.0,218.0,0.0,10000.0
398,398,김재웅,키움 히어로즈,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128587,2021,12858,,5200.0,40.0,398.0,0.0,5200.0
399,399,김동욱,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,146817,2021,14681,,3000.0,54.0,618.0,0.0,3000.0
400,400,이주형,키움 히어로즈,-0.02,5,-0.01,0.0,11,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0,0,0.1,0.182,0.4,0.582,0.047,37.7,148557,2021,14855,1루수,9000.0,26.0,249.0,0.0,9000.0
401,401,허정협,키움 히어로즈,-0.1,29,-0.38,0.28,52,52,45,5,7,0,0,0,7,2,0,0,7,0,0,10,1,0,0,0.156,0.269,0.156,0.425,0.023,19.4,114987,2021,11498,좌익수,7000.0,31.0,305.0,0.0,7000.0
402,402,박준태,키움 히어로즈,-0.13,27,0.13,-0.26,58,58,46,10,9,3,0,0,12,4,1,0,10,2,0,16,0,0,0,0.196,0.362,0.261,0.623,0.107,88.7,112607,2021,11260,우익수,11000.0,20.0,197.0,0.0,11000.0
403,403,김수환,키움 히어로즈,-0.14,13,-0.1,-0.04,44,44,41,5,9,2,0,2,17,5,0,0,2,0,0,17,2,0,1,0.22,0.25,0.415,0.665,0.078,64.5,130967,2021,13096,1루수,3000.0,54.0,618.0,0.0,3000.0
404,404,문찬종,키움 히어로즈,-0.14,13,-0.08,-0.06,17,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0.143,0.294,0.143,0.437,0.038,31.1,145787,2021,14578,2루수,3000.0,54.0,618.0,0.0,3000.0
405,405,임지열,키움 히어로즈,-0.18,19,-0.23,0.05,30,30,25,5,3,0,0,0,3,0,0,1,4,1,0,10,1,0,0,0.12,0.267,0.12,0.387,0.018,14.5,112257,2021,11225,1루수,3000.0,54.0,618.0,0.0,3000.0
406,406,크레익,키움 히어로즈,-0.2,61,0.08,-0.28,247,246,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,0.248,0.32,0.383,0.703,0.109,90.7,149907,2021,14990,1루수,48230.0,9.0,64.0,0.0,48230.0
407,407,김재현,키움 히어로즈,-0.23,39,-0.03,-0.2,51,49,46,2,10,7,0,0,17,8,0,1,3,0,0,12,1,2,0,0.217,0.265,0.37,0.635,0.075,62.5,108707,2021,10870,포수,7000.0,31.0,305.0,0.0,7000.0
408,408,신준우,키움 히어로즈,-0.23,56,-0.16,-0.07,51,50,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,0.167,0.28,0.238,0.518,0.051,42.5,146957,2021,14695,유격수,3000.0,54.0,618.0,0.0,3000.0
409,409,박주홍,키움 히어로즈,-0.26,23,-0.49,0.23,56,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,0.106,0.25,0.149,0.399,0.016,13.3,145807,2021,14580,좌익수,3000.0,54.0,618.0,0.0,3000.0
410,410,예진원,키움 히어로즈,-0.29,52,-0.8,0.51,132,129,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,0.037,30.8,130937,2021,13093,좌익수,3000.0,54.0,618.0,0.0,3000.0
411,411,프레이타스,키움 히어로즈,-0.56,43,-0.34,-0.22,148,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1,0.259,0.297,0.374,0.671,0.091,76.3,147627,2021,14762,포수,71500.0,4.0,42.0,0.0,71500.0
412,412,김휘집,키움 히어로즈,-0.67,34,-0.37,-0.3,89,86,70,9,9,1,0,1,13,8,1,0,13,2,0,23,0,3,1,0.129,0.279,0.186,0.465,0.042,35.3,147857,2021,14785,유격수,13000.0,18.0,174.0,0.0,13000.0
413,413,터크먼,한화 이글스,4.14,144,4.23,-0.09,648,644,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.796,0.146,126.5,150129,2022,15012,중견수,130000.0,2.0,24.0,0.0,130000.0
414,414,정은원,한화 이글스,3.11,140,3.68,-0.57,601,597,508,67,139,20,2,8,187,49,10,6,85,1,0,109,10,4,3,0.274,0.377,0.368,0.745,0.135,116.7,131379,2022,13137,2루수,19080.0,11.0,143.0,0.0,19080.0
415,415,최재훈,한화 이글스,2.22,114,1.76,0.47,437,431,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.105,90.9,101709,2022,10170,포수,100000.0,1.0,23.0,32000.0,132000.0
416,416,노시환,한화 이글스,1.88,115,1.91,-0.03,490,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.737,0.127,109.6,141259,2022,14125,3루수,12000.0,18.0,193.0,0.0,12000.0
417,417,김인환,한화 이글스,1.09,113,0.59,0.5,429,428,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.111,96.2,125899,2022,12589,1루수,3200.0,54.0,525.0,0.0,3200.0
418,418,김태연,한화 이글스,0.9,119,0.74,0.16,464,461,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.102,87.6,125859,2022,12585,3루수,5600.0,33.0,359.0,0.0,5600.0
419,419,박정현,한화 이글스,0.89,81,0.02,0.87,220,218,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.074,63.9,147049,2022,14704,유격수,3500.0,44.0,475.0,0.0,3500.0
420,420,하주석,한화 이글스,0.88,125,1.46,-0.58,483,481,445,50,115,18,2,5,152,58,20,6,31,3,1,126,4,1,3,0.258,0.309,0.342,0.651,0.091,79.0,109139,2022,10913,유격수,20090.0,9.0,133.0,0.0,20090.0
421,421,노수광,한화 이글스,0.7,117,0.46,0.24,361,351,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,0.097,84.5,112689,2022,11268,좌익수,12840.0,17.0,187.0,0.0,12840.0
422,422,장운호,한화 이글스,0.45,57,0.11,0.34,146,143,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,0.238,0.34,0.287,0.627,0.096,82.1,111229,2022,11122,우익수,5350.0,36.0,367.0,0.0,5350.0
423,423,장진혁,한화 이글스,0.17,41,-0.14,0.31,132,131,116,11,27,2,0,2,35,17,2,1,12,0,0,28,1,1,3,0.233,0.298,0.302,0.6,0.074,63.3,125839,2022,12583,중견수,5800.0,32.0,354.0,0.0,5800.0
424,424,강상원,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125649,2022,12564,좌익수,3250.0,53.0,524.0,0.0,3250.0
425,425,김범수,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114119,2022,11411,,9680.0,22.0,245.0,0.0,9680.0
426,426,문동주,한화 이글스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150139,2022,15013,,3000.0,63.0,581.0,0.0,3000.0
427,427,김민우,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114109,2022,11410,,19100.0,10.0,142.0,0.0,19100.0
428,428,신정락,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,105169,2022,10516,,5400.0,35.0,366.0,0.0,5400.0
429,429,장시환,한화 이글스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104539,2022,10453,,21000.0,8.0,131.0,0.0,21000.0
430,430,주현상,한화 이글스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114159,2022,11415,,5080.0,37.0,375.0,0.0,5080.0
431,431,윤호솔,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111709,2022,11170,,6350.0,29.0,329.0,0.0,6350.0
432,432,백용환,한화 이글스,-0.02,4,-0.03,0.01,5,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.4,0.6,0.062,53.6,100039,2022,10003,포수,4000.0,40.0,423.0,0.0,4000.0
433,433,권광민,한화 이글스,-0.03,32,0.09,-0.12,87,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,0.225,0.345,0.296,0.641,0.104,90.4,136769,2022,13676,좌익수,3000.0,63.0,581.0,0.0,3000.0
434,434,변우혁,한화 이글스,-0.03,21,0.01,-0.04,61,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,0.262,0.262,0.459,0.721,0.103,89.0,141249,2022,14124,1루수,3000.0,63.0,581.0,0.0,3000.0
435,435,유상빈,한화 이글스,-0.09,17,0.21,-0.29,49,47,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,0.326,0.319,0.435,0.754,0.118,103.5,151419,2022,15141,좌익수,3000.0,63.0,581.0,0.0,3000.0
436,436,이성곤,한화 이글스,-0.13,41,-0.35,0.21,117,117,99,6,19,5,0,0,24,5,1,1,17,0,0,32,0,0,1,0.192,0.308,0.242,0.55,0.071,61.2,112069,2022,11206,1루수,6400.0,28.0,326.0,0.0,6400.0
437,437,박상언,한화 이글스,-0.14,56,0.3,-0.44,151,146,134,16,30,5,1,4,49,17,0,3,11,0,0,28,2,5,1,0.224,0.281,0.366,0.647,0.087,75.5,125879,2022,12587,포수,3200.0,54.0,525.0,0.0,3200.0
438,438,허관회,한화 이글스,-0.22,15,-0.12,-0.1,25,24,23,3,5,2,0,0,7,1,1,0,1,0,0,7,2,1,0,0.217,0.25,0.304,0.554,0.053,46.7,142049,2022,14204,포수,3370.0,48.0,499.0,0.0,3370.0
439,439,이진영,한화 이글스,-0.26,70,-0.21,-0.05,240,240,220,27,44,12,1,8,82,31,2,2,17,0,0,90,4,0,3,0.2,0.254,0.373,0.627,0.077,66.9,125399,2022,12539,우익수,3600.0,42.0,469.0,0.0,3600.0
440,440,임종찬,한화 이글스,-0.3,20,-0.34,0.04,57,57,53,2,10,1,0,2,17,6,0,1,3,0,1,23,1,0,1,0.189,0.228,0.321,0.549,0.045,38.0,147069,2022,14706,우익수,3600.0,42.0,469.0,0.0,3600.0
441,441,허인서,한화 이글스,-0.31,8,-0.15,-0.16,19,19,18,1,3,0,0,0,3,0,0,0,1,0,0,8,0,0,0,0.167,0.211,0.167,0.378,-0.008,-6.7,150159,2022,15015,포수,3000.0,63.0,581.0,0.0,3000.0
442,442,이해창,한화 이글스,-0.31,4,-0.26,-0.05,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0,-0.16,-132.3,103919,2022,10391,포수,6000.0,30.0,334.0,0.0,6000.0
443,443,정민규,한화 이글스,-0.4,9,-0.28,-0.12,24,24,23,3,3,0,0,0,3,0,0,0,0,1,0,11,0,0,0,0.13,0.167,0.13,0.297,-0.035,-32.2,148139,2022,14813,1루수,18100.0,13.0,150.0,0.0,18100.0
444,444,이원석,한화 이글스,-0.44,20,-0.33,-0.11,39,38,35,4,4,0,0,1,7,1,0,0,3,0,0,18,1,1,0,0.114,0.184,0.2,0.384,-0.004,-3.7,131389,2022,13138,중견수,3300.0,49.0,500.0,0.0,3300.0
445,445,원혁재,한화 이글스,-0.44,11,-0.23,-0.21,23,23,21,2,2,1,0,0,3,0,0,0,2,0,0,12,0,0,0,0.095,0.174,0.143,0.317,-0.023,-20.8,128729,2022,12872,좌익수,3000.0,63.0,581.0,0.0,3000.0
446,446,이도윤,한화 이글스,-0.61,80,-0.66,0.05,126,122,113,9,18,7,0,1,28,8,3,2,8,0,0,30,1,4,1,0.159,0.213,0.248,0.461,0.022,18.7,114149,2022,11414,유격수,3400.0,46.0,491.0,0.0,3400.0
447,447,유로결,한화 이글스,-0.93,30,-0.8,-0.13,68,65,60,5,8,0,0,0,8,4,0,0,4,1,0,9,1,3,0,0.133,0.2,0.133,0.333,-0.017,-14.6,141269,2022,14126,우익수,3300.0,49.0,500.0,0.0,3300.0
448,448,오지환,LG 트윈스,6.31,142,5.75,0.56,569,565,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.155,139.8,104756,2022,10475,유격수,60000.0,6.0,67.0,0.0,60000.0
449,449,김현수,LG 트윈스,4.18,141,4.53,-0.35,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.162,146.5,101876,2022,10187,좌익수,150000.0,1.0,4.0,125000.0,275000.0
450,450,박해민,LG 트윈스,4.17,144,2.99,1.17,636,629,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.118,107.0,111906,2022,11190,중견수,60000.0,3.0,21.0,80000.0,140000.0
451,451,문보경,LG 트윈스,4.13,126,3.66,0.47,466,460,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.157,141.9,141376,2022,14137,3루수,6800.0,38.0,309.0,0.0,6800.0
452,452,홍창기,LG 트윈스,3.53,118,2.78,0.75,525,520,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.141,128.2,125466,2022,12546,우익수,32000.0,7.0,89.0,0.0,32000.0
453,453,문성주,LG 트윈스,3.07,106,2.37,0.7,390,380,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.161,145.6,131126,2022,13112,좌익수,4200.0,48.0,413.0,0.0,4200.0
454,454,유강남,LG 트윈스,2.78,139,2.49,0.29,469,463,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.106,95.7,107536,2022,10753,포수,27000.0,12.0,111.0,0.0,27000.0
455,455,채은성,LG 트윈스,2.12,126,2.13,0.0,526,524,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.791,0.142,128.1,112156,2022,11215,1루수,28000.0,10.0,105.0,0.0,28000.0
456,456,이재원,LG 트윈스,1.22,85,1.42,-0.21,253,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.137,121.6,131046,2022,13104,좌익수,5200.0,42.0,374.0,0.0,5200.0
457,457,송찬의,LG 트윈스,0.41,33,0.29,0.12,78,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,0.105,96.7,131096,2022,13109,2루수,3000.0,67.0,581.0,0.0,3000.0
458,458,이형종,LG 트윈스,0.26,26,0.07,0.19,63,62,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.644,0.091,83.7,125166,2022,12516,좌익수,12000.0,24.0,193.0,0.0,12000.0
459,459,가르시아,LG 트윈스,0.25,39,0.57,-0.32,156,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,0.206,0.308,0.353,0.661,0.102,91.4,151506,2022,15150,2루수,23400.0,15.0,125.0,0.0,23400.0
460,460,허도환,LG 트윈스,0.05,64,0.24,-0.19,92,89,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,0.247,0.281,0.341,0.622,0.079,70.7,106846,2022,10684,포수,10000.0,17.0,134.0,10000.0,20000.0
461,461,손호영,LG 트윈스,0.05,36,0.36,-0.31,82,81,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.119,108.0,145906,2022,14590,2루수,3500.0,56.0,475.0,0.0,3500.0
462,462,신민재,LG 트윈스,0.02,14,-0.06,0.08,3,3,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.16,-140.8,130566,2022,13056,2루수,5000.0,43.0,376.0,0.0,5000.0
463,463,이영빈,LG 트윈스,0.02,60,-0.11,0.13,83,83,76,16,14,3,0,1,20,5,0,0,7,0,0,25,3,0,0,0.184,0.253,0.263,0.516,0.046,41.1,147836,2022,14783,1루수,18500.0,19.0,148.0,0.0,18500.0
464,464,박재욱,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125126,2022,12512,포수,3500.0,56.0,475.0,0.0,3500.0
465,465,허준혁,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150836,2022,15083,,3000.0,67.0,581.0,0.0,3000.0
466,466,플럿코,LG 트윈스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150036,2022,15003,,65000.0,5.0,63.0,0.0,65000.0
467,467,함덕주,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,110946,2022,11094,,12000.0,24.0,193.0,0.0,12000.0
468,468,정우영,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141366,2022,14136,,28000.0,10.0,105.0,0.0,28000.0
469,469,송은범,LG 트윈스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,101376,2022,10137,,15000.0,21.0,163.0,0.0,15000.0
470,470,최동환,LG 트윈스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,105356,2022,10535,,6000.0,39.0,334.0,0.0,6000.0
471,471,백승현,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130096,2022,13009,,5000.0,43.0,376.0,0.0,5000.0
472,472,진해수,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,100756,2022,10075,,30000.0,8.0,93.0,0.0,30000.0
473,473,송승기,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,148466,2022,14846,,6000.0,39.0,334.0,0.0,6000.0
475,475,최성훈,LG 트윈스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108516,2022,10851,,10500.0,26.0,220.0,0.0,10500.0
476,476,배재준,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,126976,2022,12697,,5000.0,43.0,376.0,0.0,5000.0
477,477,김진성,LG 트윈스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111666,2022,11166,,10000.0,27.0,228.0,0.0,10000.0
478,478,채지선,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113876,2022,11387,,4000.0,49.0,423.0,0.0,4000.0
479,479,김기연,LG 트윈스,-0.01,12,-0.06,0.05,9,9,9,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.222,0.222,0.222,0.444,0.007,5.7,125496,2022,12549,포수,3000.0,67.0,581.0,0.0,3000.0
480,480,고우석,LG 트윈스,-0.02,4,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.16,-127.8,129076,2022,12907,,27000.0,12.0,111.0,0.0,27000.0
481,481,김호은,LG 트윈스,-0.05,2,-0.05,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.16,-143.9,125546,2022,12554,1루수,4000.0,49.0,423.0,0.0,4000.0
482,482,최민창,LG 트윈스,-0.06,4,-0.04,-0.03,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.01,-8.5,113516,2022,11351,좌익수,3200.0,62.0,525.0,0.0,3200.0
483,483,안익훈,LG 트윈스,-0.07,14,-0.04,-0.02,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.001,0.6,113476,2022,11347,중견수,5500.0,41.0,360.0,0.0,5500.0
484,484,한석현,LG 트윈스,-0.1,6,-0.15,0.05,10,9,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0.222,0.222,0.222,0.444,0.007,5.6,132506,2022,13250,좌익수,3900.0,53.0,456.0,0.0,3900.0
485,485,서건창,LG 트윈스,-0.12,77,0.25,-0.36,247,244,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.081,72.7,108556,2022,10855,2루수,26000.0,14.0,115.0,0.0,26000.0
486,486,이천웅,LG 트윈스,-0.13,19,-0.06,-0.07,23,23,20,3,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0.2,0.304,0.2,0.504,0.054,48.8,109356,2022,10935,중견수,10000.0,27.0,228.0,0.0,10000.0
487,487,이상호,LG 트윈스,-0.27,60,-0.07,-0.2,80,77,72,9,18,2,0,0,20,5,1,2,4,1,0,6,1,3,0,0.25,0.299,0.278,0.577,0.068,60.5,111476,2022,11147,2루수,8500.0,32.0,262.0,0.0,8500.0
488,488,루이즈,LG 트윈스,-0.36,27,-0.39,0.02,94,94,84,10,13,4,1,1,22,6,1,0,9,0,0,13,5,0,1,0.155,0.234,0.262,0.496,0.039,36.3,150026,2022,15002,3루수,97500.0,4.0,40.0,0.0,97500.0
489,489,김민성,LG 트윈스,-0.5,92,-0.23,-0.27,157,154,140,16,29,4,0,3,42,20,0,1,10,3,0,27,4,3,1,0.207,0.273,0.3,0.573,0.066,59.4,102386,2022,10238,3루수,18000.0,20.0,152.0,0.0,18000.0
490,490,이대호,롯데 자이언츠,3.51,142,3.58,-0.07,591,585,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.168,139.7,102512,2022,10251,1루수,80000.0,1.0,27.0,40000.0,120000.0
491,491,안치홍,롯데 자이언츠,3.08,132,3.68,-0.6,562,550,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.141,117.9,100142,2022,10014,2루수,100000.0,2.0,37.0,0.0,100000.0
492,492,한동희,롯데 자이언츠,2.76,129,3.31,-0.55,499,497,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.149,124.2,131452,2022,13145,3루수,17200.0,15.0,156.0,0.0,17200.0
493,493,렉스,롯데 자이언츠,2.58,56,2.55,0.03,251,249,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.33,0.41,0.495,0.905,0.185,155.6,151522,2022,15152,우익수,40300.0,11.0,83.0,0.0,40300.0
494,494,고승민,롯데 자이언츠,1.87,92,1.64,0.23,262,260,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.158,131.4,141602,2022,14160,2루수,3800.0,40.0,458.0,0.0,3800.0
495,495,전준우,롯데 자이언츠,1.6,120,2.45,-0.86,517,516,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.139,116.0,102662,2022,10266,좌익수,50000.0,9.0,74.0,0.0,50000.0
496,496,피터스,롯데 자이언츠,0.83,85,0.99,-0.15,354,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.109,90.2,150092,2022,15009,중견수,78000.0,4.0,53.0,0.0,78000.0
497,497,신용수,롯데 자이언츠,0.5,49,0.44,0.06,73,73,68,8,16,4,2,2,30,7,3,1,4,1,0,15,0,0,0,0.235,0.288,0.441,0.729,0.118,98.9,141692,2022,14169,중견수,4900.0,35.0,391.0,0.0,4900.0
498,498,지시완,롯데 자이언츠,0.43,75,0.38,0.05,199,197,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1,0.213,0.299,0.305,0.604,0.081,67.4,114132,2022,11413,포수,6000.0,29.0,334.0,0.0,6000.0
499,499,김민수,롯데 자이언츠,0.19,57,0.04,0.15,156,153,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.32,0.3,0.62,0.088,73.8,129312,2022,12931,2루수,5300.0,33.0,368.0,0.0,5300.0
500,500,박승욱,롯데 자이언츠,0.08,100,0.3,-0.21,228,216,198,29,45,7,2,1,59,16,8,2,16,2,0,69,1,12,0,0.227,0.292,0.298,0.59,0.074,61.7,108042,2022,10804,유격수,3000.0,54.0,581.0,0.0,3000.0
501,501,황성빈,롯데 자이언츠,0.0,102,0.83,-0.82,353,346,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,0.294,0.341,0.366,0.707,0.113,94.3,146422,2022,14642,중견수,3000.0,54.0,581.0,0.0,3000.0
502,502,강윤구,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104232,2022,10423,,7300.0,23.0,289.0,0.0,7300.0
503,503,나균안,롯데 자이언츠,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129302,2022,12930,,5800.0,31.0,354.0,0.0,5800.0
504,504,문경찬,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,112992,2022,11299,,9000.0,19.0,252.0,0.0,9000.0
505,505,구승민,롯데 자이언츠,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,112912,2022,11291,,18100.0,14.0,150.0,0.0,18100.0
506,506,김원중,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108252,2022,10825,,28000.0,12.0,105.0,0.0,28000.0
